                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.74742,                0.54239,                0.97238,                0.87945,                  0.855,                 0.9078,                0.69136,                0.90473,                0.71595,                 1.0902,              0.0008912,              0.0008912,              0.0008912
                     58,                0.74843,                0.52555,                0.97276,                0.89118,                0.85987,                0.91502,                0.69397,                0.87981,                0.64968,                  1.068,              0.0008714,              0.0008714,              0.0008714
                     59,                0.74673,                0.54869,                0.98963,                0.86045,                   0.88,                0.90573,                0.68275,                 0.9234,                0.70291,                 1.0875,              0.0008516,              0.0008516,              0.0008516
                     60,                 0.7604,                0.54661,                0.98525,                0.88425,                  0.855,                0.91966,                0.69112,                0.86804,                0.71751,                 1.0643,              0.0008318,              0.0008318,              0.0008318
                     61,                0.74121,                0.54357,                0.96998,                 0.8678,                   0.85,                0.91044,                0.67263,                0.89542,                0.70192,                 1.0697,               0.000812,               0.000812,               0.000812
                     62,                 0.7581,                 0.5367,                0.98345,                0.88407,                0.87702,                0.90927,                0.69723,                0.84842,                0.65961,                 1.0532,              0.0007922,              0.0007922,              0.0007922
                     63,                0.71665,                0.53326,                0.96776,                0.85922,                0.91548,                0.91153,                 0.7003,                0.84076,                0.63725,                 1.0536,              0.0007724,              0.0007724,              0.0007724
                     64,                0.71576,                0.51315,                0.95004,                0.86847,                  0.895,                0.91165,                0.68788,                0.91326,                0.63887,                 1.0882,              0.0007526,              0.0007526,              0.0007526
                     65,                0.71921,                0.53829,                0.95754,                0.87096,                0.91119,                0.90811,                0.69354,                0.90822,                0.63792,                 1.0898,              0.0007328,              0.0007328,              0.0007328
                     66,                0.72059,                0.51242,                0.97738,                0.90566,                  0.885,                0.91635,                0.69931,                0.86792,                0.63927,                 1.0646,               0.000713,               0.000713,               0.000713
                     67,                0.68831,                0.49203,                0.95295,                0.88708,                  0.875,                0.91248,                0.69171,                0.87643,                0.71797,                 1.0874,              0.0006932,              0.0006932,              0.0006932
                     68,                0.65895,                0.48141,                0.94397,                0.91045,                0.81337,                0.90092,                0.68223,                0.86624,                0.78368,                  1.067,              0.0006734,              0.0006734,              0.0006734
                     69,                0.70631,                0.50325,                0.95384,                 0.8809,                  0.905,                0.90461,                0.69578,                0.85762,                0.67606,                 1.0642,              0.0006536,              0.0006536,              0.0006536
                     70,                0.68974,                0.47918,                0.95535,                0.88886,                   0.89,                0.90376,                0.70754,                0.86131,                0.66998,                 1.0598,              0.0006338,              0.0006338,              0.0006338
                     71,                0.71251,                0.49628,                0.95168,                0.90401,                0.89472,                0.91859,                0.71381,                0.84791,                0.64565,                 1.0655,               0.000614,               0.000614,               0.000614
